Gene_symbol	Gene_Name	Synonyms	Human_entrez	Mouse_entrez	Rat_entrez
AGO2	"Protein argonaute-2 "	"hAGO2 Q10 LINC00980"	27161	239528	59117
AHCTF1	"Protein ELYS "	ELYS	25909	226747	360886
AHDC1	"Transcription factor Gibbin "	"DJ159A19.3 RP1-159A19.1"	27245		
AHR	"Aryl hydrocarbon receptor "	bHLHe76	196	11622	25690
AHRR	"Aryl hydrocarbon receptor repressor "	"KIAA1234 bHLHe77"	57491	11624	498999
Aicda	"Single-stranded DNA cytosine deaminase "	-		11628	
AIM2	"Interferon-inducible protein AIM2 "	PYHIN4	9447	226691	304988
AIP	"AH receptor-interacting protein "	"XAP2 ARA9 FKBP16 FKBP37"	9049	11632	282827
AIRE	"Autoimmune regulator "	"PGA1 APS1"	326	11634	294328
AJUBA	"LIM domain-containing protein ajuba"	MGC15563	84962	16475	85265
AKAP17A	"A-kinase anchor protein 17A "	"XE7 XE7Y DXYS155E MGC39904 721P CCDC133"	8227		
AKAP8	"A-kinase anchor protein 8 "	"AKAP95 DKFZp586B1222"	10270		
AKAP8L	"A-kinase anchor protein 8-like "	"NAKAP95 HAP95"	26993	54194	299569
AKAP9	"A-kinase anchor protein 9 "	"KIAA0803 AKAP350 AKAP450 CG-NAP YOTIAO HYPERION PRKA9 MU-RMS-40.16A PPP1R45 LQT11"	10142		
AKIRIN1	Akirin-1	FLJ12666	79647	68050	595134
AKIRIN2	Akirin-2	"FLJ10342 dJ486L4.2"	55122	433693	297968
AKNA	"Microtubule organization protein AKNA "	KIAA1968	80709	100182	362530
AKT1	"RAC-alpha serine/threonine-protein kinase "	"RAC PKB PRKBA AKT RAC-alpha"	207	11651	24185
AKT2	"RAC-beta serine/threonine-protein kinase "	PKB_	208	11652	25233
ALPK3	"Alpha-protein kinase 3 "	"MAK KIAA1330 Midori"	57538	116904	365298
ALX1	"ALX homeobox protein 1 "	-	8092	216285	25401
ALX3	"Homeobox protein aristaless-like 3 "	-	257	11694	365900
ALX4	"Homeobox protein aristaless-like 4"	"FPP PFM KIAA1788"	60529	11695	296511
ALYREF	"THO complex subunit 4 "	"ALY BEF ALY/REF REF"	10189	21681	690585
AMOT	Angiomotin	KIAA1071	154796		
ANAPC2	"Anaphase-promoting complex subunit 2 "	"APC2 KIAA1406"	29882		
ANHX	"Anomalous homeobox protein"	-	647589		
ANKAR	"Ankyrin and armadillo repeat-containing protein"	FLJ25415	150709	319695	501138
ANKRA2	"Ankyrin repeat family A protein 2 "	-	57763	68558	
ANKRD1	"Ankyrin repeat domain-containing protein 1 "	"C-193 ALRP CARP CVARP MCARP"	27063	107765	27064
ANKRD2	"Ankyrin repeat domain-containing protein 2 "	ARPP	26287	56642	309374
ANKRD30A	"Ankyrin repeat domain-containing protein 30A "	NY-BR-1	91074		
ANKRD33	"Photoreceptor ankyrin repeat protein "	"DKFZp686O1689 PANKY"	341405	208258	683410
ANKRD49	"Ankyrin repeat domain-containing protein 49 "	"FLJ20189 FGIF GBIF"	54851	56503	315434
ANKZF1	"Ankyrin repeat and zinc finger domain-containing protein 1 "	"FLJ10415 ZNF744 Vms1"	55139	52231	
ANP32A	"Acidic leucine-rich nuclear phosphoprotein 32 family member A "	"LANP PP32 I1PP2A PHAPI MAPM mapmodulin"	8125	67628	170724
ANP32B	"Acidic leucine-rich nuclear phosphoprotein 32 family member B "	"SSP29 PHAPI2 APRIL"	10541	67628	170724
ANP32D	"Acidic leucine-rich nuclear phosphoprotein 32 family member D "	PP32R2	23519		
ANP32E	"Acidic leucine-rich nuclear phosphoprotein 32 family member E "	"LANPL MGC5350 LANP-L"	81611	66471	361999
ANXA4	"Annexin A4 "	-	307	11746	79124
AP5Z1	"AP-5 complex subunit zeta-1 "	"SPG48 zeta"	9907	231855	
APBB1	"Amyloid beta precursor protein binding family B member 1 "	Fe65	322	11785	29722
APEX1	DNA-	"APE REF1 HAP1 APX APEN REF-1 APE-1"	328	11792	79116
APTX	"Aprataxin "	"FLJ20157 AOA AOA1 EAOH EOAHA"	54840		
AR	"Androgen receptor "	"AIS NR3C4 SMAX1 HUMARA"	367	11835	24208
Arap1	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 "	-		69710	
ARC	"Activity-regulated cytoskeleton-associated protein "	"KIAA0278 Arg3.1"	23237		
ARGFX	"Arginine-fifty homeobox"	-	503582		
Arglu1	"Arginine and glutamate-rich protein 1"	-		234023	290912
ARGLU1	"Arginine and glutamate-rich protein 1"	FLJ10154	55082		
Arhgap22	"Rho GTPase-activating protein 22 "	-		239027	
ARHGAP35	"Rho GTPase-activating protein 35 "	"GRF-1 p190ARhoGAP P190A KIAA1722 p190RhoGAP"	2909	232906	306400
ARHGAP5	"Rho GTPase-activating protein 5 "	"RhoGAP5 p190-B p190BRhoGAP"	394	11855	299012
ARHGEF5	"Rho guanine nucleotide exchange factor 5 "	"TIM TIM1 GEF5 P60"	7984	54324	140898
ARID1A	"AT-rich interactive domain-containing protein 1A "	"B120 P270 C10rf4 BAF250 BAF250a"	8289	93760	297867
ARID1B	"AT-rich interactive domain-containing protein 1B "	"KIAA1235 ELD/OSA1 p250R BAF250b DAN15 6A3-5 SMARCF2"	57492	239985	282546
ARID2	"AT-rich interactive domain-containing protein 2 "	"KIAA1557 DKFZp686G052 FLJ30619 BAF200 SMARCF3"	196528	77044	366980
ARID3A	"AT-rich interactive domain-containing protein 3A "	BRIGHT	1820	13496	314616
ARID3B	"AT-rich interactive domain-containing protein 3B "	"BDP DRIL2"	10620	56380	367092
ARID3C	"AT-rich interactive domain-containing protein 3C "	-	138715	550619	502946
ARID4A	"AT-rich interactive domain-containing protein 4A "	"RBP1 RBP-1"	5926	238247	314205
ARID4B	"AT-rich interactive domain-containing protein 4B "	"BCAA BRCAA1 SAP180"	51742	94246	100912163
ARID5A	"AT-rich interactive domain-containing protein 5A "	"MRF-1 RP11-363D14"	10865	214855	316327
ARID5B	"AT-rich interactive domain-containing protein 5B "	"FLJ21150 MRF2"	84159	71371	
ARIH2	"E3 ubiquitin-protein ligase ARIH2 "	TRIAD1	10425		
ARL2BP	"ADP-ribosylation factor-like protein 2-binding protein "	"BART1 BART"	23568	107566	498910
ARNT	"Aryl hydrocarbon receptor nuclear translocator "	"HIF-1beta bHLHe2"	405	11863	25242
ARNT2	"Aryl hydrocarbon receptor nuclear translocator 2 "	"KIAA0307 bHLHe1"	9915	11864	25243
ARNTL	"Aryl hydrocarbon receptor nuclear translocator-like protein 1 "	"MOP3 JAP3 PASD3 bHLHe5 ARNTL1"	406	11865	29657
ARNTL2	"Aryl hydrocarbon receptor nuclear translocator-like protein 2 "	"MOP9 CLIF PASD9 bHLHe6"	56938	272322	362464
ARRB1	"Beta-arrestin-1 "	-	408	109689	25387
ARRB2	"Beta-arrestin-2 "	"BARR2 DKFZp686L0365"	409	216869	25388
ARX	"Homeobox protein ARX "	"ISSX CT121 EIEE1"	170302	11878	317268
ASCC1	"Activating signal cointegrator 1 complex subunit 1 "	"CGI-18 ASC1p50 Em:AC022392.3 p50"	51008	69090	294512
ASCC2	"Activating signal cointegrator 1 complex subunit 2 "	"ASC1p100 FLJ21588 DKFZp586O0223"	84164	75452	498402
ASCC3	"Activating signal cointegrator 1 complex subunit 3 "	"RNAH ASC1p200 dJ121G13.4 dJ467N11.1"	10973	77987	309887
ASCL1	"Achaete-scute homolog 1 "	"ASH1 HASH1 bHLHa46"	429	17172	64186
ASCL2	"Achaete-scute homolog 2 "	"ASH2 HASH2 bHLHa45"	430	17173	24209
ASCL3	"Achaete-scute homolog 3 "	"bHLHa42 HASH3 Sgn1"	56676	56787	
ASCL4	"Achaete-scute homolog 4 "	"HASH4 bHLHa44"	121549	67341	299687
ASCL5	"Achaete-scute homolog 5 "	"bHLHa47 ASH-5 AmeloD"	647219	226439	363991
Asf1a	"Histone chaperone ASF1A "	-		66403	294408
ASF1A	"Histone chaperone ASF1A "	"DKFZP547E2110 CIA"	25842		
ASF1B	"Histone chaperone ASF1B "	FLJ10604	55723	66929	304648
ASH1L	"Histone-lysine N-methyltransferase ASH1L "	"huASH1 ASH1 ASH1L1 KMT2H"	55870	192195	310638
ASH2L	"Set1/Ash2 histone methyltransferase complex subunit ASH2 "	"ASH2L2 ASH2 Bre2"	9070	23808	290829
ASXL1	"Polycomb group protein ASXL1 "	KIAA0978	171023	228790	311553
ATAD2	"ATPase family AAA domain-containing protein 2 "	"PRO2000 DKFZp667N1320 MGC5254 MGC29843 CT137 ANCCA"	29028	70472	314993
ATF1	"Cyclic AMP-dependent transcription factor ATF-1 "	TREB36	466	11908	315305
ATF2	"Cyclic AMP-dependent transcription factor ATF-2 "	"TREB7 CRE-BP1 HB16"	1386	11909	81647
ATF3	"Cyclic AMP-dependent transcription factor ATF-3 "	-	467	11910	25389
ATF4	"Cyclic AMP-dependent transcription factor ATF-4 "	"TAXREB67 CREB-2"	468	11911	79255
ATF5	"Cyclic AMP-dependent transcription factor ATF-5 "	-	22809	107503	282840
ATF6	"Cyclic AMP-dependent transcription factor ATF-6 alpha "	ATF6A	22926	226641	304962
ATF6B	"Cyclic AMP-dependent transcription factor ATF-6 beta "	G13	1388	12915	406169
ATF7	"Cyclic AMP-dependent transcription factor ATF-7 "	ATFA	11016	223922	315333
ATF7IP	"Activating transcription factor 7-interacting protein 1 "	"FLJ10688 p621 ATF7IP1"	55729	54343	312800
ATF7IP2	"Activating transcription factor 7-interacting protein 2 "	FLJ12668	80063		
ATMIN	"ATM interactor "	"ASCIZ KIAA0431 ZNF822"	23300	234776	680989
ATN1	"Atrophin-1 "	B37	1822		100911672
ATOH1	"Transcription factor ATOH1 "	"HATH1 MATH-1 Math1 bHLHa14"	474	11921	500156
ATOH7	"Transcription factor ATOH7 "	"Math5 bHLHa13"	220202	53404	365564
ATOH8	"Transcription factor ATOH8 "	"HATH6 FLJ14708 bHLHa21"	84913	71093	500200
Atp5f1c	"ATP synthase subunit gamma, mitochondrial "	-			116550
ATRX	"Transcriptional regulator ATRX "	"XH2 XNP"	546	22589	246284
ATXN2	"Ataxin-2 "	ATX2	6311		
ATXN3	"Ataxin-3 "	"ATX3 JOS"	4287	110616	60331
ATXN3L	"Ataxin-3-like protein "	MJDL	92552	110616	60331
ATXN7	"Ataxin-7 "	"OPCA3 ADCAII SGF73"	6314	246103	361015
ATXN7L3	"Ataxin-7-like protein 3 "	DKFZp761G2113	56970	217218	287734
AURKAIP1	"Aurora kinase A-interacting protein "	"AKIP AIP FLJ20608"	54998	66077	298687
AURKB	"Aurora kinase B "	"Aik2 IPL1 AurB AIM-1 ARK2 STK5 PPP1R48"	9212	20877	114592
AUTS2	"Autism susceptibility gene 2 protein"	"KIAA0442 FBRSL2"	26053	319974	
AXIN1	"Axin-1 "	PPP1R49	8312	12005	79257
AXIN2	"Axin-2 "	"MGC126582 DKFZp781B0869"	8313	12006	29134
BACH1	"Transcription regulator protein BACH1 "	"BACH-1 BTBD24"	571	12013	304127
BACH2	"Transcription regulator protein BACH2 "	BTBD25	60468		
BAG1	"BAG family molecular chaperone regulator 1 "	-	573	12017	297994
BAHCC1	"BAH and coiled-coil domain-containing protein 1 "	"KIAA1447 BAHD2"	57597	268515	360674
BAHD1	"Bromo adjacent homology domain-containing 1 protein "	KIAA0945	22893	228536	362194
BANP	"Protein BANP "	"SMARBP1 SMAR1 FLJ20538 DKFZp761H172 FLJ10177 BEND1"	54971	53325	292064
BAP18	"Chromatin complexes subunit BAP18 "	"MGC49942 BAP18 HEPIS"	124944		
BARHL1	"BarH-like 1 homeobox protein"	-	56751	54422	117232
BARHL2	"BarH-like 2 homeobox protein"	-	343472	104382	65050
BARX1	"Homeobox protein BarH-like 1"	-	56033	12022	364680
BARX2	"Homeobox protein BarH-like 2"	-	8538	12023	679701
Basp1	"Brain acid soluble protein 1 "	-		70350	64160
BASP1	"Brain acid soluble protein 1 "	"NAP-22 NAP22 CAP23 CAP-23"	10409		
BATF	"Basic leucine zipper transcriptional factor ATF-like "	"B-ATF SFA-2 BATF1"	10538	53314	299206
BATF2	"Basic leucine zipper transcriptional factor ATF-like 2 "	MGC20410	116071	74481	309178
BATF3	"Basic leucine zipper transcriptional factor ATF-like 3 "	"JUNDM1 SNFT JDP1"	55509	381319	60462
BAZ1A	"Bromodomain adjacent to zinc finger domain protein 1A "	"hACF1 ACF1 WALp1 WCRF180"	11177	217578	314126
BAZ1B	"Tyrosine-protein kinase BAZ1B "	WSTF	9031	22385	368002
BAZ2A	"Bromodomain adjacent to zinc finger domain protein 2A "	"KIAA0314 TIP5 WALp3"	11176	116848	304601
BAZ2B	"Bromodomain adjacent to zinc finger domain protein 2B "	WALp4	29994	407823	317627
BBS7	"Bardet-Biedl syndrome 7 protein "	"FLJ10715 BBS2L1"	55212	71492	361930
BBX	"HMG box transcription factor BBX "	"MDS001 HSPC339 HBP2"	56987	70508	303970
BCAS3	"BCAS3 microtubule associated cell migration factor "	"FLJ20128 PHAF2"	54828	192197	
BCL10	"B-cell lymphoma/leukemia 10 "	"CARMEN CIPER mE10 c-E10 CLAP"	8915	12042	83477
BCL11A	"B-cell lymphoma/leukemia 11A "	"BCL11A-XL BCL11A-L BCL11A-S CTIP1 HBFQTL5 ZNF856 SMARCM1"	53335	14025	305589
BCL11B	"B-cell lymphoma/leukemia 11B "	"CTIP-2 CTIP2 hRIT1-alpha SMARCM2"	64919	14025	305589
BCL3	"B-cell lymphoma 3 protein "	-	602	12051	680611
BCL6	"B-cell lymphoma 6 protein "	"ZBTB27 LAZ3 BCL5 BCL6A"	604	12053	303836
BCL6B	"B-cell CLL/lymphoma 6 member B protein "	"ZBTB28 BAZF"	255877	12029	360551
BCL9	"B-cell CLL/lymphoma 9 protein "	-	607	77578	310704
BCL9L	"B-cell CLL/lymphoma 9-like protein "	"DLNB11 B9L Bcl9-2"	283149	80288	300673
BCLAF1	"Bcl-2-associated transcription factor 1 "	"KIAA0164 BTF"	9774	72567	
BCLAF3	"BCLAF1 and THRAP3 family member 3"	-	256643	382252	501559
BCOR	"BCL-6 corepressor "	"FLJ20285 KIAA1575"	54880	71458	317346
BDP1	"Transcription factor TFIIIB component B'' homolog "	"TFIIIB150 TFC5 TFIIIB90 KIAA1689 HSA238520 KIAA1241"	55814	544971	294687
BEND3	"BEN domain-containing protein 3"	-	57673	331623	683923
BEND6	"BEN domain-containing protein 6"	"FLJ30162 bA203B9.1"	221336	320705	363212
BEX1	"Protein BEX1 "	-	55859	12069	363498
BHLHA15	"Class A basic helix-loop-helix protein 15 "	MIST1	168620	17341	25334
BHLHA9	"Class A basic helix-loop-helix protein 9 "	BHLHF42	727857	320522	363656
BHLHB9	"Protein BHLHb9 "	"p60TRP KIAA1701 GASP3"	80823	70237	
BHLHE22	"Class E basic helix-loop-helix protein 22 "	"CAGL85 Beta3"	27319	59058	365748
BHLHE23	"Class E basic helix-loop-helix protein 23 "	"bA305P22.3 Beta4"	128408	140489	499952
BHLHE40	"Class E basic helix-loop-helix protein 40 "	"DEC1 SHARP2 Clast5"	8553	20893	79431
BHLHE41	"Class E basic helix-loop-helix protein 41 "	"DEC2 SHARP-1 SHARP1"	79365	79362	117095
BIRC2	"Baculoviral IAP repeat-containing protein 2 "	"cIAP1 hiap-2 MIHB RNF48 c-IAP1"	329	11797	60371
BIRC5	"Baculoviral IAP repeat-containing protein 5 "	"EPR-1 survivin"	332	11799	64041
BLM	"RecQ-like DNA helicase BLM "	"BS RECQL3 RECQ2"	641	12144	308755
BLOC1S1	"Biogenesis of lysosome-related organelles complex 1 subunit 1 "	"BLOS1 BORCS1"	2647		
BLZF1	"Golgin-45 "	JEM-1	8548	66352	498266
BMI1	"Polycomb complex protein BMI-1 "	RNF51	648	12151	307151
BMP2	"Bone morphogenetic protein 2 "	-	650	12156	29373
BNC1	"Zinc finger protein basonuclin-1"	HsT19447	646	12173	365299
BNC2	"Zinc finger protein basonuclin-2"	"BSN2 FLJ20043"	54796	242509	298189
BOD1L1	"Biorientation of chromosomes in cell division protein 1-like 1"	"FLJ33215 KIAA1327"	259282		
BOLA1	"BolA-like protein 1 "	CGI-143	51027	69168	
BOLA2	"BolA-like protein 2"	"My016 BOLA2A"	552900	66162	
BOLA3	"BolA-like protein 3"	-	388962	78653	
Borcs8	"BLOC-1-related complex subunit 8"	-		72368	
BPNT1	"3'(2'),5'-bisphosphate nucleotidase 1"	-	10380		
BPTF	"Nucleosome-remodeling factor subunit BPTF "	"FAC1 NURF301"	2186	207165	303617
BRCA1	"Breast cancer type 1 susceptibility protein "	"RNF53 BRCC1 PPP1R53 FANCS"	672	12189	497672
BRCA2	"Breast cancer type 2 susceptibility protein "	"FAD FAD1 BRCC2 XRCC11"	675	12190	360254
BRD1	"Bromodomain-containing protein 1 "	"BRL BRPF2"	23774	223770	315210
BRD2	"Bromodomain-containing protein 2 "	"KIAA9001 RING3 D6S113E NAT FSRG1"	6046	14312	108348112
BRD3	"Bromodomain-containing protein 3 "	"RING3L ORFX KIAA0043"	8019	67382	362092
BRD4	"Bromodomain-containing protein 4 "	"HUNKI MCAP CAP HUNK1"	23476	57261	362844
BRD7	"Bromodomain-containing protein 7 "	"CELTIX1 BP75 SMARCI1"	29117	26992	361374
BRD8	"Bromodomain-containing protein 8 "	"SMAP p120"	10902	78656	291691
BRD9	"Bromodomain-containing protein 9 "	"FLJ13441 SMARCI2"	65980	105246	308067
BRDT	"Bromodomain testis-specific protein "	"BRD6 CT9"	676	114642	305123
BRF1	"Transcription factor IIIB 90 kDa subunit "	"TFIIIB90 BRF hBRF"	2972	72308	299347
BRF2	"Transcription factor IIIB 50 kDa subunit "	"FLJ11052 BRFU TFIIIB50"	55290	66653	306542
BRIP1	"Fanconi anemia group J protein "	"OF BACH1 FANCJ"	83990	237911	360588
BRMS1	"Breast cancer metastasis-suppressor 1"	DKFZP564A063	25855	107392	108348098
BRMS1L	"Breast cancer metastasis-suppressor 1-like protein "	"MGC11296 FLJ39177"	84312	52592	299053
BRPF1	"Peregrin "	BR140	7862	78783	679713
BRPF3	"Bromodomain and PHD finger-containing protein 3"	KIAA1286	27154		
BRWD1	"Bromodomain and WD repeat-containing protein 1 "	"FLJ11315 N143 DCAF19"	54014	93871	304061
BRWD3	"Bromodomain and WD repeat-containing protein 3"	"FLJ38568 MRX93"	254065	382236	317213
BSX	"Brain-specific homeobox protein homolog"	BSX1	390259	244813	500982
BTAF1	"TATA-binding protein-associated factor 172 "	"TAFII170 TAF172 MOT1 TAF-172 TAF(II)170"	9044	107182	368042
BTBD1	"BTB/POZ domain-containing protein 1 "	-	53339		
BTBD2	"BTB/POZ domain-containing protein 2"	-	55643		
BTBD3	"BTB/POZ domain-containing protein 3"	"KIAA0952 dJ742J24.1"	22903		
BTBD6	"BTB/POZ domain-containing protein 6 "	BDPL	90135		
BTF3	"Transcription factor BTF3 "	"BTF3a BTF3b"	689	218490	294680
BTG1	"Protein BTG1 "	APRO2	694	12226	29618
BTG2	"Protein BTG2 "	"PC3 TIS21 MGC126063 MGC126064 APRO1"	7832	12227	29619
BTK	"Tyrosine-protein kinase BTK "	"ATK XLA PSCTK1"	695	12229	367901
Btn1a1	"Butyrophilin subfamily 1 member A1 "	-		12231	306956
BTN3A3	"Butyrophilin subfamily 3 member A3"	"BTF3 BTN3.3"	10384		
BTRC	"F-box/WD repeat-containing protein 1A "	"bTrCP betaTrCP FBXW1A Fwd1 beta-TrCP1 bTrCP1"	8945	12234	361765
BUD23	"Probable 18S rRNA "	"MGC19709 MGC2022 MGC5140 PP3381 WBMT MERM1"	114049		
BUD31	"Protein BUD31 homolog "	"YCR063W EDG-2 EDG2 fSAP17 Cwc14"	8896	231889	89819
C1D	"Nuclear nucleic acid-binding protein C1D "	"SUNCOR SUN-CoR LRP1 Rrp47"	10438	57316	289810
C1QBP	"Complement component 1 Q subcomponent-binding protein, mitochondrial "	"gC1Q-R gC1qR p32 SF2p32"	708	12261	29681
C20orf194	"Dynein axonemal assembly factor 9 "	DKFZp434N061	25943		
C6orf89	"Bombesin receptor-activated protein C6orf89 "	"FLJ25357 BRAP"	221477		
CALCOCO1	"Calcium-binding and coiled-coil domain-containing protein 1 "	"KIAA1536 calphoglin Cocoa"	57658	67488	100912282
CALR	"Calreticulin "	"RO SSA cC1qR CRT FLJ26680"	811	12317	64202
CAMK1	"Calcium/calmodulin-dependent protein kinase type 1 "	"CaMKI CaMKI-alpha"	8536	227541	307124
CAMK2A	"Calcium/calmodulin-dependent protein kinase type II subunit alpha "	"KIAA0968 CaMKIINalpha CaMKII_"	815	12322	25400
CAMK2D	"Calcium/calmodulin-dependent protein kinase type II subunit delta "	-	817	108058	24246
CAMK4	"Calcium/calmodulin-dependent protein kinase type IV "	"CaMK-GR CaMKIV"	814	12326	25050
CAMTA1	"Calmodulin-binding transcription activator 1"	KIAA0833	23261	100072	362665
CAMTA2	"Calmodulin-binding transcription activator 2"	KIAA0909	23125	216874	287462
CAND1	"Cullin-associated NEDD8-dissociated protein 1 "	"TIP120A DKFZp434M1414 KIAA0829 TIP120"	55832	71902	117152
CAPN15	"Calpain-15 "	-	6650	50817	303000
CARF	"Calcium-responsive transcription factor "	"FLJ21579 NYD-SP24"	79800	241066	301446
CARHSP1	"Calcium-regulated heat-stable protein 1 "	"CRHSP-24 CSDC1"	23589	52502	260416
CARM1	"Histone-arginine methyltransferase CARM1 "	PRMT4	10498	59035	363026
CASK	"Peripheral plasma membrane protein CASK "	"LIN2 CAGH39 FGS4"	8573	12361	100910506
CASP8AP2	"CASP8-associated protein 2 "	"FLASH CED-4 RIP25 FLJ11208 KIAA1315"	9994	26885	313128
CASZ1	"Zinc finger protein castor homolog 1 "	"FLJ20321 ZNF693 castor cst SRG"	54897	69743	313713
CAVIN1	"Caveolae-associated protein 1 "	"cavin-1 CGL4"	284119	19285	287710
CBFA2T2	"Protein CBFA2T2 "	"MTGR1 ZMYND3"	9139	12396	296293
CBFA2T3	"Protein CBFA2T3 "	"MTGR2 ZMYND4 MTG16 RUNX1T3 ETO2"	863	12398	361431
CBFB	"Core-binding factor subunit beta "	PEBP2B	865	12400	361391
CBL	"E3 ubiquitin-protein ligase CBL "	"RNF55 c-Cbl"	867	12402	500985
CBLL1	"E3 ubiquitin-protein ligase Hakai "	"HAKAI FLJ23109 RNF188"	79872		
CBX1	"Chromobox protein homolog 1 "	"HP1Hs-beta M31 MOD1 CBX HP1-BETA"	10951	12412	360609
CBX2	"Chromobox protein homolog 2"	"MGC10561 M33"	84733	12416	303730
CBX3	"Chromobox protein homolog 3 "	HP1Hs-gamma	11335	12417	297093
CBX4	"E3 SUMO-protein ligase CBX4 "	"hPC2 PC2 NBP16"	8535	12418	501403
CBX5	"Chromobox protein homolog 5 "	"HP1Hs-alpha HP1 HP1-ALPHA"	23468	12419	300266
CBX6	"Chromobox protein homolog 6"	-	23466	494448	315136
CBX7	"Chromobox protein homolog 7"	-	23492	52609	362962
CBX8	"Chromobox protein homolog 8 "	"RC1 HPC3 PC3"	57332	30951	303731
CBY1	"Protein chibby homolog 1 "	"PIGEA14 PIGEA-14 Chibby Cby Chibby1"	25776	73739	246768
CC2D1A	"Coiled-coil and C2 domain-containing protein 1A "	"FLJ20241 MRT3 Freud-1 Lgd2 TAPE Aki-1"	54862	212139	288908
CC2D1B	"Coiled-coil and C2 domain-containing protein 1B "	"KIAA1836 Freud-2 Lgd1"	200014	319965	313478
CCAR1	"Cell division cycle and apoptosis regulator protein 1 "	"FLJ10590 CARP-1 CARP1"	55749	67500	361849
CCAR2	"Cell cycle and apoptosis regulator protein 2 "	"DBC-1 DBC1 NET35"	57805	219158	306007
CCDC124	"Coiled-coil domain-containing protein 124"	"Lso2 oxs1"	115098		
CCDC17	"Coiled-coil domain-containing protein 17"	FLJ33084	149483		
CCDC59	"Thyroid transcription factor 1-associated protein 26 "	"HSPC128 TAP26 BR22"	29080	52713	314799
CCDC62	"Coiled-coil domain-containing protein 62 "	"TSP-NY FLJ40344 CT109 ERAP75"	84660	208908	689909
CCDC71	"Coiled-coil domain-containing protein 71"	FLJ12800	64925		
CCDC85B	"Coiled-coil domain-containing protein 85B "	DIPA	11007	240514	
CCDC88A	"Girdin "	"FLJ10392 APE GIV HkRP1 GRDN"	55704		
CCNA1	Cyclin-A1	CT146	8900	12427	295052
CCNA2	"Cyclin-A2 "	-	890	12428	114494
CCNC	"Cyclin-C "	CycC	892	51813	114839
CCND1	"G1/S-specific cyclin-D1 "	U21B31	595	12443	58919
CCNE1	"G1/S-specific cyclin-E1"	-	898	12447	25729
CCNH	"Cyclin-H "	"p34 p37 CycH"	902	66671	84389
CCNK	Cyclin-K	CPR4	8812	12454	500715
CCNQ	"Cyclin-Q "	CycM	92002	69109	303321
CCNT1	"Cyclin-T1 "	"CCNT CYCT1"	904	12455	315291
CCNT2	"Cyclin-T2 "	-	905	72949	304758
CCR7	"C-C chemokine receptor type 7 "	"BLR2 CDw197 CD197"	1236		
CCT4	"T-complex protein 1 subunit delta "	Cctd	10575		
CD36	"Platelet glycoprotein 4 "	"SCARB3 GPIV FAT GP4 GP3B GPIIIB"	948	12491	499985
