gene,avg cluster stat sig,most stat sig cluster,least stat sig cluster,avg # species per cluster
PRAMEF9,0.29045000000000004,0.0138,0.4429,81.5
MDM4,0.4272,0.4182,0.4344,131.33333333333334
HOXB1,0.3252666666666667,0.1236,0.4365,88.66666666666667
JADE3,0.42015,0.3444,0.4959,112.5
RPAP2,0.39085000000000003,0.3123,0.4694,120.5
ZNF217,0.332675,0.1581,0.5,57.25
ZBTB41,0.4481,0.4019,0.4943,113.5
KMT2B,0.37552,0.1894,0.4973,47.0
GSC2,0.3798,0.3584,0.4012,101.0
NIBAN2,0.44015,0.3939,0.4864,122.0
ZXDA,0.29545,0.1186,0.4723,68.5
PTF1A,0.34209999999999996,0.1508,0.5,56.5
KLHL5,0.4589,0.4398,0.478,195.0
LHX1,0.3326,0.1239,0.4905,67.25
TET3,0.33335000000000004,0.0154,0.4731,64.5
HNRNPD,0.46735000000000004,0.4415,0.4932,125.5
RNF25,0.37272500000000003,0.2901,0.4225,66.0
LDOC1,0.33295,0.2947,0.3937,62.75
TRIM35,0.35605,0.2846,0.4275,110.5
CERS2,0.4715666666666667,0.4176,0.5,144.66666666666666
MEIS2,0.48905000000000004,0.4616,0.5,148.0
TBX21,0.36588,0.2415,0.4582,47.6
DPPA4,0.31379999999999997,0.1599,0.4677,104.0
CTNNBIP1,0.36442,0.2764,0.4384,56.6
NAA15,0.44565,0.3968,0.4945,121.5
ASCC3,0.461575,0.4367,0.4959,64.5
ZBED6,0.44175,0.4238,0.4597,118.5
ZNF92,0.4126666666666667,0.2963,0.5,113.66666666666667
ZNF862,0.3428,0.2433,0.483,80.0
OLIG2,0.369275,0.2532,0.4463,60.75
MEF2D,0.34513999999999995,0.13,0.4785,60.8
ACTN2,0.49715,0.4943,0.5,130.0
ZNF629,0.31983333333333336,0.2103,0.4182,76.33333333333333
BEX1,0.3792,0.283,0.48,127.0
KLF3,0.4119,0.3413,0.4593,83.33333333333333
ZNF57,0.47614999999999996,0.4523,0.5,116.5
TAF8,0.4808,0.4671,0.4945,196.0
BTBD3,0.42605000000000004,0.4176,0.4345,124.0
BRMS1,0.4963333333333333,0.489,0.5,146.33333333333334
TSHZ2,0.41406,0.2413,0.4849,86.6
PARP15,0.4165,0.3539,0.4791,57.0
LYAR,0.34804999999999997,0.2824,0.4137,122.0
ZNF563,0.36106,0.0772,0.4931,69.0
HINT1,0.457875,0.4225,0.4946,91.75
CTNND2,0.45176,0.3968,0.4959,97.2
NOBOX,0.38024,0.2301,0.4887,92.6
CNOT3,0.41775,0.3926,0.4377,72.5
KDM4B,0.3471666666666667,0.1874,0.4632,82.33333333333333
JRKL,0.46299999999999997,0.448,0.478,125.5
ZNF268,0.41043333333333337,0.3488,0.4781,69.33333333333333
ZNF276,0.3382,0.1874,0.4604,116.5
ELF2,0.4541,0.4164,0.4918,128.0
TRAK1,0.353,0.2907,0.4153,131.0
TTF2,0.32289999999999996,0.1599,0.418,83.0
BAG1,0.43645,0.3567,0.4973,114.75
ENC1,0.41569999999999996,0.3641,0.4918,83.25
RFX6,0.47345000000000004,0.4496,0.4973,121.0
ZKSCAN7,0.3758,0.3242,0.4274,126.5
KLHL42,0.2626,0.1258,0.3994,104.0
ZBTB20,0.3755,0.3316,0.4194,137.0
ACTL6B,0.47314999999999996,0.4463,0.5,113.0
PPHLN1,0.4727666666666666,0.4684,0.4763,188.33333333333334
PEX2,0.36229999999999996,0.2976,0.427,119.5
GMEB1,0.47314999999999996,0.4463,0.5,116.0
SREBF1,0.33745,0.2701,0.4048,130.5
LIN54,0.45285,0.4084,0.4973,114.5
RNF138,0.4675,0.4377,0.4973,121.5
RWDD3,0.47115,0.4544,0.4879,123.0
ZNF730,0.4147666666666667,0.3428,0.5,86.0
NPM1,0.4862,0.4731,0.4946,152.75
NEUROD2,0.31425000000000003,0.1188,0.4415,60.0
RELL2,0.2909,0.1607,0.4211,115.5
ZFP42,0.37405,0.2438,0.4792,64.5
GON4L,0.47046666666666664,0.4357,0.4892,77.66666666666667
E2F5,0.39225,0.2931,0.476,72.75
CREB1,0.45855,0.4198,0.4973,118.0
STAT4,0.48724999999999996,0.4745,0.5,121.0
SAFB,0.4664,0.4638,0.469,111.5
ZNF396,0.49345,0.4869,0.5,83.5
HAND2,0.459375,0.3985,0.4889,62.25
ZNF235,0.459175,0.3965,0.494,195.0
PHTF1,0.40654999999999997,0.3323,0.4808,130.5
SYK,0.40062499999999995,0.2325,0.4987,67.5
MED10,0.3519,0.3439,0.3599,115.0
RIN3,0.45794999999999997,0.437,0.4789,113.0
ZSCAN22,0.324975,0.0476,0.4838,40.0
AXIN2,0.35646,0.1855,0.5,54.0
CELF3,0.4654,0.4366,0.4942,116.0
ZNF14,0.4034,0.3481,0.4351,56.0
SP5,0.30246666666666666,0.155,0.3776,75.66666666666667
TRIM4,0.40145,0.3636,0.424,70.0
ZNF674,0.48907500000000004,0.4832,0.5,57.25
TP53BP2,0.43857500000000005,0.4128,0.4726,75.5
TSC22D1,0.387625,0.131,0.5,158.75
ZNF483,0.347,0.2649,0.4291,119.0
TXN,0.45983333333333337,0.4398,0.4726,117.66666666666667
NR4A3,0.49045,0.485,0.4959,116.5
RFPL3,0.3674,0.253,0.5,27.333333333333332
RAF1,0.43703333333333333,0.3992,0.4688,85.33333333333333
FIZ1,0.32792499999999997,0.1653,0.4458,52.75
ZNF773,0.4379,0.4015,0.4919,169.5
TLE5,0.46645000000000003,0.4417,0.4912,143.0
FRK,0.37856,0.1786,0.5,53.4
MLXIP,0.48319999999999996,0.4664,0.5,118.0
TBL1X,0.43132499999999996,0.2615,0.5,98.25
EIF3K,0.4789999999999999,0.4425,0.5,114.0
EEF1A1,0.4900666666666667,0.4756,0.4973,118.0
CROCC,0.4686666666666666,0.451,0.4809,83.0
TAF12,0.43906666666666666,0.3389,0.4973,139.0
PLAG1,0.42835,0.419,0.4377,126.5
ZNF439,0.43115,0.417,0.4453,136.0
TRIM17,0.3427,0.1711,0.4835,45.8
ZNF584,0.45206,0.4061,0.4872,126.4
HELT,0.4803,0.4688,0.4918,200.0
INSM1,0.35435,0.3265,0.3822,94.5
ZNF280C,0.44105000000000005,0.401,0.4811,128.0
ZMYM3,0.45735000000000003,0.4176,0.4971,115.5
ANXA4,0.44684999999999997,0.3937,0.5,117.0
CGGBP1,0.3475,0.118,0.4843,57.2
CENPA,0.4881,0.4762,0.5,119.0
CAPN15,0.30355,0.1516,0.4689,59.0
ASH2L,0.48445,0.4717,0.4972,125.0
SPIC,0.28605,0.1277,0.4444,106.5
TERF2IP,0.47045,0.4624,0.4785,191.5
NUP35,0.44575,0.3915,0.5,114.5
SDR16C5,0.47225,0.4667,0.4778,182.0
TADA2B,0.48965000000000003,0.4793,0.5,83.5
ZAR1,0.30036666666666667,0.1358,0.4225,73.0
PSEN1,0.4541,0.4164,0.4918,124.0
TAF9B,0.4822,0.4671,0.4973,112.5
CEP290,0.48114999999999997,0.4677,0.4946,117.5
SAP30L,0.471,0.442,0.5,102.0
SKIDA1,0.4280333333333333,0.3877,0.488,99.66666666666667
SCAPER,0.4350333333333333,0.3937,0.4651,91.66666666666667
HNRNPC,0.4441,0.3882,0.5,114.5
CENPX,0.40345000000000003,0.3349,0.4907,88.5
LHX6,0.4822,0.4671,0.4973,136.5
EPC1,0.47422,0.4398,0.4945,101.4
ATXN7L3,0.45525000000000004,0.4173,0.4932,115.0
PKNOX1,0.46815,0.4445,0.4918,111.0
TADA1,0.42745,0.359,0.4959,116.0
ZNF317,0.38366666666666666,0.2478,0.4667,86.66666666666667
KBTBD7,0.3893,0.3636,0.415,117.0
SUPT6H,0.4736,0.4472,0.5,117.0
KMT2E,0.48485,0.4763,0.4934,100.5
ZBTB46,0.3831,0.2793,0.489,81.0
ZNF865,0.36033333333333334,0.2764,0.474,67.33333333333333
ZHX1,0.30242499999999994,0.0154,0.4225,65.0
CHCHD3,0.5,0.5,0.5,118.5
MEFV,0.45278,0.3786,0.4888,105.6
SRSF2,0.41245,0.4111,0.4138,119.0
ZBED1,0.285025,0.0459,0.4731,39.0
CCNC,0.5,0.5,0.5,139.0
GABPB2,0.43625,0.3959,0.4766,121.0
CERS5,0.42632499999999995,0.3876,0.5,121.0
EID2,0.4879,0.4788,0.497,91.0
TRIM32,0.4579,0.4183,0.4847,87.33333333333333
NOTCH2,0.3828666666666667,0.3041,0.4945,78.0
CCND1,0.49055000000000004,0.4811,0.5,112.5
MSX1,0.49235,0.4847,0.5,106.0
FOXJ2,0.41781999999999997,0.3641,0.481,68.2
ARID4A,0.30422,0.1255,0.4638,52.0
TCERG1L,0.4901,0.4855,0.4947,110.0
IRX2,0.40043333333333336,0.3208,0.4946,70.33333333333333
NCK1,0.48635,0.4741,0.4986,115.0
ETV5,0.45904999999999996,0.4236,0.4945,113.0
CTDP1,0.32277500000000003,0.1305,0.5,80.25
GTF2H3,0.31420000000000003,0.1567,0.4075,87.0
HOXC8,0.49305,0.4889,0.4972,118.5
HOXB6,0.43229999999999996,0.4022,0.463,87.0
HLA-DQB1,0.49724999999999997,0.4945,0.5,168.0
YBX3,0.3800666666666666,0.3157,0.442,92.33333333333333
NUP107,0.4853,0.4776,0.493,121.5
CTH,0.4154,0.35,0.4808,120.5
DDX17,0.4181,0.3539,0.4823,122.0
MAP2K2,0.4494,0.4431,0.4557,125.0
AUTS2,0.49585,0.4917,0.5,132.5
TAF1C,0.33094999999999997,0.1861,0.4756,69.25
MAML1,0.48924999999999996,0.4785,0.5,117.0
NDUFA13,0.4478,0.4225,0.4731,204.5
COMMD10,0.498,0.4973,0.4987,124.5
SIRT2,0.4298,0.4146,0.445,182.0
ZC3HAV1,0.343875,0.25,0.441,80.25
SEBOX,0.402,0.3084,0.4956,103.5
RNF103,0.37255,0.2862,0.4589,113.5
CDX4,0.42065,0.3506,0.4907,94.5
LMX1A,0.49324999999999997,0.4865,0.5,117.5
BARHL1,0.24529999999999996,0.0154,0.4463,72.66666666666667
TLX2,0.5,0.5,0.5,188.0
DYDC1,0.42435,0.3514,0.4973,105.0
HIVEP2,0.3651,0.3436,0.3915,88.33333333333333
ZNF441,0.3336,0.0926,0.4454,88.5
MYT1L,0.4675,0.4377,0.4973,118.5
TCF24,0.39659999999999995,0.3515,0.4417,114.0
TUB,0.4421333333333333,0.3989,0.4731,127.66666666666667
ERBB2,0.5,0.5,0.5,123.5
SOHLH2,0.3252,0.2456,0.4048,118.0
HDAC4,0.32316666666666666,0.1257,0.4713,76.33333333333333
TP73,0.45220000000000005,0.4101,0.4943,132.0
HOXA11,0.3441,0.2724,0.4048,76.66666666666667
VGLL2,0.2807,0.1541,0.4073,108.0
DDX54,0.3548,0.2999,0.4097,122.5
IER2,0.3376,0.2608,0.4144,111.0
REXO4,0.3266,0.1305,0.481,53.0
ZNF253,0.412175,0.3265,0.5,115.0
PPARD,0.4034,0.3095,0.4973,127.5
ZNF107,0.336925,0.0277,0.5,51.5
CBX8,0.3337,0.1534,0.4785,69.75
OTP,0.33155999999999997,0.2202,0.4828,51.2
INO80E,0.4945,0.4945,0.4945,212.0
MAX,0.4536,0.3745,0.4945,168.0
COMMD9,0.46404999999999996,0.4453,0.4808,106.0
PHF8,0.39954999999999996,0.3528,0.4463,119.5
IFRD1,0.43665,0.4005,0.4728,134.0
EDF1,0.4361333333333333,0.4101,0.4576,136.33333333333334
BHLHA9,0.4445,0.4159,0.4731,105.5
HMGXB4,0.34245,0.1124,0.4816,65.0
TDG,0.36185,0.3167,0.4111,78.5
BRDT,0.32323999999999997,0.1343,0.4879,70.8
FOXN1,0.394675,0.3619,0.4194,64.0
FAM171B,0.40002499999999996,0.3718,0.4431,69.25
RAP2C,0.3321,0.0087,0.4986,86.0
PRAMEF18,0.2334,0.0126,0.4542,67.0
TFAP2B,0.32214,0.1288,0.4385,56.6
HIPK3,0.35755,0.2457,0.4463,63.75
MYCL,0.42742500000000005,0.3968,0.4657,105.0
MBD3L4,0.46935,0.4533,0.4854,82.0
NFKB2,0.4441333333333333,0.3795,0.4852,80.33333333333333
ZNF558,0.46796666666666664,0.4039,0.5,137.0
ZNF546,0.45475,0.4463,0.4632,135.0
WAC,0.4675,0.4377,0.4973,156.0
THRB,0.43520000000000003,0.3731,0.4973,120.5
ZNF420,0.41,0.2648,0.4901,66.25
SUMO1,0.48740000000000006,0.4811,0.4937,118.5
ZNF583,0.41800000000000004,0.3629,0.4731,162.0
CIR1,0.498,0.4973,0.4987,121.0
KHDRBS1,0.39949999999999997,0.3915,0.4075,151.5
TRIM10,0.45449999999999996,0.4182,0.5,119.33333333333333
PAX7,0.37761999999999996,0.2721,0.4783,86.8
PHF12,0.46985,0.4671,0.4726,146.0
GTF2H2C,0.42965,0.3758,0.4835,107.0
TAF15,0.38268,0.0154,0.4987,93.0
ZIK1,0.4701666666666666,0.4441,0.5,194.66666666666666
PRMT8,0.41525,0.3673,0.4632,141.0
LMO7,0.42055,0.368,0.4731,135.5
CBFB,0.46859999999999996,0.4387,0.4843,129.33333333333334
TLE2,0.42893333333333333,0.3937,0.4785,129.0
TFAM,0.42310000000000003,0.3654,0.4808,123.0
HAX1,0.42269999999999996,0.381,0.4644,158.0
ZNF774,0.46335000000000004,0.4267,0.5,100.0
TFB1M,0.4526666666666667,0.3758,0.4973,87.66666666666667
CDK11A,0.32655,0.0097,0.4791,11.0
RAX,0.32035,0.2437,0.397,101.0
MIER1,0.40975,0.3439,0.4756,132.5
ZNF296,0.28375,0.1592,0.4083,119.0
ZNF335,0.35558,0.1751,0.4651,56.6
CENPF,0.22007500000000002,0.0203,0.3162,20.5
HEXIM2,0.36844,0.2947,0.4238,52.8
SRF,0.41925,0.3823,0.4562,110.5
ZMYM4,0.3322333333333333,0.0144,0.4986,79.0
ZNF280D,0.4595,0.4501,0.4689,167.0
TNKS,0.472425,0.3937,0.5,109.75
PRDM8,0.31462,0.1903,0.4731,43.2
MED17,0.361525,0.1244,0.5,96.75
ADAR,0.3881666666666667,0.1987,0.4974,84.33333333333333
ZNF354C,0.32816,0.1415,0.4959,48.8
ZNF232,0.31184,0.1595,0.4949,25.0
GTF2A1L,0.34146666666666664,0.1298,0.4756,85.0
ZNF391,0.3509,0.2456,0.4562,87.5
CIAO1,0.45365,0.4428,0.4645,123.5
FOXS1,0.29615,0.1252,0.4671,110.0
CSRNP1,0.296325,0.1456,0.4334,64.25
C1D,0.3933,0.223,0.5,118.25
ZNF484,0.4789,0.4734,0.4844,113.0
ZNF527,0.45680000000000004,0.3836,0.4934,104.66666666666667
TRIOBP,0.39990000000000003,0.3112,0.4812,101.75
TRIM3,0.42523999999999995,0.2981,0.4945,119.8
SP2,0.39115,0.3666,0.4157,124.0
UBE2O,0.48924999999999996,0.4785,0.5,121.5
ZSCAN25,0.355,0.1419,0.4796,80.66666666666667
SMARCC1,0.47990000000000005,0.4726,0.4849,93.66666666666667
UBE3A,0.3375333333333333,0.2457,0.3989,108.66666666666667
ZNF181,0.38135,0.1903,0.4791,91.75
BBS7,0.49324999999999997,0.4865,0.5,116.5
ZBTB39,0.43035,0.4236,0.4371,125.0
HESX1,0.4036333333333333,0.3494,0.4442,141.33333333333334
GLI1,0.30455,0.1855,0.4236,120.5
GLYR1,0.45635000000000003,0.4182,0.4945,126.0
XIAP,0.48305,0.4661,0.5,108.0
KIAA0040,0.3327,0.1085,0.4544,80.5
POGK,0.314,0.1332,0.3915,67.0
RFX1,0.45445,0.4304,0.4785,113.0
CREB3L1,0.49455,0.4891,0.5,116.5
AHDC1,0.46345000000000003,0.433,0.4939,112.0
DAB2,0.3564,0.3474,0.3654,119.5
PPP2R1A,0.44255,0.4398,0.4453,121.5
STAT3,0.48235,0.4674,0.4973,199.5
E2F2,0.47425,0.4485,0.5,115.0
PLK1,0.357975,0.2711,0.4361,67.0
BAHD1,0.3429333333333333,0.143,0.489,79.0
DVL1,0.49929999999999997,0.4986,0.5,114.5
EZH1,0.37987999999999994,0.2976,0.4674,62.4
HSBP1L1,0.382125,0.3112,0.5,57.25
SAP18,0.47472499999999995,0.4236,0.5,74.5
ZNF737,0.322175,0.0379,0.5,63.5
SOX21,0.47950000000000004,0.4717,0.4873,98.0
MYCBP,0.4544,0.4102,0.4986,110.5
ZNF729,0.3103666666666667,0.043,0.4707,33.333333333333336
PPRC1,0.4386666666666667,0.316,0.5,143.33333333333334
BAZ1A,0.3386,0.1344,0.4226,68.75
ERBIN,0.3989,0.3989,0.3989,147.0
MAPK10,0.4505,0.4198,0.4812,170.5
ZNF564,0.44279999999999997,0.4222,0.4634,106.5
CLOCK,0.4555,0.4164,0.4946,119.0
UHRF1,0.489,0.478,0.5,128.0
VHL,0.3449,0.3185,0.3713,112.0
RBM5,0.4807666666666666,0.4463,0.4987,147.0
PARP12,0.4459,0.4106,0.4812,119.5
RNF144A,0.4372,0.4145,0.4748,89.33333333333333
FEV,0.47645000000000004,0.4612,0.4917,106.0
CITED1,0.40545,0.3963,0.4146,124.0
DDIT3,0.41725,0.3545,0.48,154.0
SOX7,0.37016,0.1404,0.4662,52.4
KLF4,0.3724,0.2299,0.4973,147.33333333333334
ZNF793,0.35619999999999996,0.023,0.4855,61.25
FOXL3,0.32804,0.2207,0.4973,50.4
MEF2C,0.4524,0.4048,0.5,116.5
ZNF630,0.34822000000000003,0.0379,0.5,33.6
TAF6L,0.2927333333333333,0.1092,0.4064,76.33333333333333
PCSK6,0.4863,0.4726,0.5,131.5
PER1,0.4748,0.451,0.4986,112.5
MAF,0.4196,0.3571,0.4821,90.0
PLXND1,0.46175,0.443,0.4805,113.5
ELF5,0.3935333333333333,0.3071,0.4661,133.0
CDYL,0.44677999999999995,0.4084,0.4986,93.6
FUBP3,0.45715,0.4251,0.4892,123.0
KHSRP,0.5,0.5,0.5,131.5
CREBZF,0.33315,0.3291,0.3372,109.0
KDM4E,0.35175,0.2071,0.4576,24.5
NKX6-2,0.30935,0.225,0.3937,97.5
SLTM,0.4344,0.3783,0.4905,122.5
APEX1,0.42274999999999996,0.2663,0.4946,64.75
ANP32D,0.2221,0.009,0.5,12.0
DDX1,0.4524,0.4048,0.5,126.5
PSMC3IP,0.46314999999999995,0.4357,0.4906,126.5
ZNF530,0.45715,0.4429,0.4714,173.0
JUND,0.4118,0.3801,0.4435,94.0
ZNF493,0.4503,0.4074,0.5,126.33333333333333
PRPF6,0.44565,0.3968,0.4945,117.5
SP140,0.263175,0.0104,0.4547,34.5
ZNF664,0.298,0.0115,0.4943,75.33333333333333
LOXL2,0.46635,0.4381,0.4946,121.0
TFAP4,0.48214999999999997,0.4698,0.4945,120.5
NPAS3,0.43725,0.3788,0.4957,110.5
BPTF,0.33,0.0144,0.5,104.0
ZSCAN32,0.36725,0.1968,0.4853,16.0
KLF12,0.37939999999999996,0.2565,0.4891,77.66666666666667
KAT5,0.42389999999999994,0.3952,0.4756,117.5
NKAP,0.3661,0.1402,0.4769,51.5
CD36,0.45025000000000004,0.4111,0.4894,137.0
RIOX1,0.3091,0.2245,0.3937,103.5
THAP5,0.392,0.3506,0.4334,119.5
PRDM1,0.35885,0.2395,0.496,74.25
UBE2L3,0.44177500000000003,0.3915,0.4794,118.0
OVOL1,0.48855,0.48,0.4971,124.5
RIT2,0.44315,0.3902,0.4961,90.0
DACT1,0.34134000000000003,0.1466,0.4173,56.0
SNAPC4,0.3131,0.1188,0.4805,81.33333333333333
GRHL3,0.4056666666666667,0.316,0.4812,154.33333333333334
MYBL1,0.4446,0.396,0.4932,126.0
PIK3R1,0.342125,0.1529,0.4403,69.75
HOXA3,0.4986,0.4972,0.5,166.0
KDM1A,0.46305,0.4398,0.4863,131.5
ZNF398,0.46775,0.4368,0.4987,114.0
ZNF225,0.46399999999999997,0.4013,0.5,112.5
LGR4,0.4767,0.4671,0.4863,125.0
ALX4,0.31711999999999996,0.1583,0.4677,49.8
ZNF322,0.4518,0.4173,0.4863,100.0
ZNF281,0.41505000000000003,0.4084,0.4217,111.5
DUSP26,0.38712500000000005,0.2905,0.4728,69.75
MEN1,0.46893333333333337,0.4492,0.4915,135.66666666666666
HMGB2,0.46194999999999997,0.4253,0.4986,112.5
RBPJ,0.4864,0.4728,0.5,136.5
ZFYVE26,0.44415,0.3937,0.4946,118.5
ZNF594,0.42795,0.3217,0.5,28.0
CNBP,0.39860000000000007,0.3196,0.4413,94.0
ZNF429,0.32582500000000003,0.0459,0.4865,73.75
HELZ,0.48319999999999996,0.4704,0.496,131.5
ZYX,0.406,0.3256,0.4852,113.25
MORF4L1,0.43374999999999997,0.4285,0.439,177.0
TACC1,0.350675,0.0368,0.4753,127.5
CASP8AP2,0.27921999999999997,0.0926,0.4973,52.0
PRMT1,0.4688,0.4485,0.4891,195.0
GTF2A2,0.40875,0.3578,0.4597,128.5
DRGX,0.3708333333333333,0.3138,0.4589,87.66666666666667
MYNN,0.47175,0.4435,0.5,111.5
LARP7,0.39863333333333334,0.3536,0.4861,105.66666666666667
LPIN2,0.4549,0.4236,0.489,91.66666666666667
ZBTB1,0.264475,0.0144,0.4217,64.25
SETDB1,0.41069999999999995,0.3049,0.4888,65.5
RAG1,0.345475,0.2184,0.4453,67.75
TOPORS,0.33554000000000006,0.2739,0.3921,97.0
ZNF763,0.454,0.4404,0.4676,136.0
NANOGP8,0.27153333333333335,0.0646,0.5,2.0
ZNF850,0.2041666666666667,0.0001,0.5,17.0
MSANTD1,0.4746,0.4657,0.4835,196.0
USP21,0.4309,0.3822,0.4796,116.5
ZNF132,0.43036666666666673,0.4055,0.4634,127.66666666666667
KDM5B,0.475975,0.4379,0.4943,101.5
ZNF266,0.5,0.5,0.5,117.5
TULP3,0.4239,0.3784,0.4589,118.33333333333333
NFKBIB,0.45735000000000003,0.4176,0.4971,122.5
ARHGEF5,0.3504,0.1327,0.4986,59.25
ZNF573,0.41518,0.368,0.4731,77.2
RBL2,0.37507999999999997,0.1349,0.4973,55.2
TBX3,0.2849333333333333,0.1284,0.3673,78.33333333333333
STRN3,0.46009999999999995,0.4442,0.476,135.5
ELOB,0.45855,0.4337,0.4834,171.0
TAF6,0.35816,0.3273,0.4263,103.0
PRAMEF33,0.22015,0.0146,0.4257,43.5
ZNF705E,0.4276,0.3877,0.4675,142.0
TONSL,0.297,0.1474,0.4401,63.25
PKIG,0.476,0.4726,0.4794,205.0
RAD21,0.42705000000000004,0.4217,0.4324,129.5
CHMP1A,0.46575,0.4429,0.4886,189.0
ZNF627,0.46715,0.4429,0.4914,135.5
ZMAT5,0.4871,0.4756,0.4986,111.0
BATF3,0.4612,0.4251,0.4973,120.5
ZNF784,0.44415,0.3937,0.4946,104.0
ZNF639,0.49865000000000004,0.4973,0.5,105.5
GTF2E1,0.387775,0.3125,0.4236,65.75
BOD1L1,0.279975,0.178,0.4717,65.75
TAL2,0.403725,0.2745,0.4986,66.25
RPS6KA5,0.4617,0.4344,0.489,142.0
ZNF474,0.374,0.3153,0.4327,120.0
CCDC124,0.33497499999999997,0.1251,0.5,60.0
ZNF683,0.33572499999999994,0.1874,0.4805,73.25
TRIB3,0.4265,0.4178,0.4352,173.0
ZNF813,0.363,0.3367,0.3893,156.0
ZNF720,0.49065000000000003,0.4813,0.5,205.0
HSF5,0.49455,0.4891,0.5,95.5
KMT5C,0.31802499999999995,0.1479,0.4946,59.5
RFX8,0.40685,0.3833,0.4304,134.5
SIX2,0.44580000000000003,0.4182,0.4767,86.66666666666667
NLRP12,0.4569,0.4262,0.4876,96.5
TFDP1,0.47585,0.4517,0.5,113.5
SART3,0.40725,0.3428,0.4717,121.0
WDR75,0.47195,0.4453,0.4986,116.5
ZNF219,0.33225,0.1607,0.4357,57.0
ZNF207,0.45235000000000003,0.4102,0.4945,119.5
PRAMEF7,0.3720666666666667,0.1744,0.494,124.33333333333333
